renda_mensal,nivel_endividamento,frequencia_poupanca,descricao,valor
1621.0,15,Nenhuma,Aluguel casa simples,500.0
1621.0,15,Nenhuma,Conta de energia eletrica,80.0
1621.0,15,Nenhuma,Conta de agua,45.0
1621.0,15,Nenhuma,Gas de cozinha botijao,60.0
1621.0,15,Nenhuma,Feira e mercado - arroz feijao oleo,380.0
1621.0,15,Nenhuma,Acougue - carne e frango,150.0
1621.0,15,Nenhuma,Padaria pao do dia a dia,90.0
1621.0,15,Nenhuma,Passagem de onibus trabalho,180.0
1621.0,15,Nenhuma,Farmacia remedio basico,50.0
1621.0,15,Nenhuma,Material escolar filhos,30.0
1621.0,15,Nenhuma,Celular pre-pago,30.0
