renda_mensal,nivel_endividamento,frequencia_poupanca,descricao,valor
2800,25,Media,Aluguel apartamento,750.0
2800,25,Media,Conta de energia eletrica CELPE,95.0
2800,25,Media,Conta de agua COMPESA,55.0
2800,25,Media,Supermercado Extra,380.0
2800,25,Media,iFood almoco,42.5
2800,25,Media,Padaria Pao Dourado,35.0
2800,25,Media,Restaurante self-service,48.0
2800,25,Media,Feira livre frutas e verduras,60.0
2800,25,Media,iFood jantar,38.5
2800,25,Media,Mercadinho do bairro,46.0
2800,25,Media,Recarga cartao de onibus,120.0
2800,25,Media,Uber trabalho,28.0
2800,25,Media,Combustivel posto Ipiranga,150.0
2800,25,Media,99 corrida noturna,22.0
2800,25,Media,Estacionamento shopping,30.0
2800,25,Media,Farmacia Pague Menos medicamentos,65.0
2800,25,Media,Consulta medica particular,100.0
2800,25,Media,Farmacia suplementos,35.0
2800,25,Media,Mensalidade curso de ingles Wizard,150.0
2800,25,Media,Assinatura Alura,69.9
2800,25,Media,Livros tecnicos Amazon,30.1
2800,25,Media,Cinema shopping,45.0
2800,25,Media,Assinatura Netflix,39.9
2800,25,Media,Bar com amigos,65.1
2800,25,Media,Assinatura Spotify,21.9
2800,25,Media,Parque lazer fim de semana,28.1
2800,25,Media,Internet movel plano de celular Vivo,49.9
2800,25,Media,Internet fibra optica,99.9
2800,25,Media,Academia mensalidade,80.0
2800,25,Media,Lavanderia,20.2
