territorio,ano,faixa_renda,categoria,valor_reais
Brasil,2018,Total,2.1.1 Alimentação,658.23
Brasil,2018,Total,2.1.2 Habitação,1377.14
Brasil,2018,Total,2.1.4 Transporte,679.76
Brasil,2018,Total,2.1.6 Assistência à saude,302.06
Brasil,2018,Total,2.1.7 Educação,175.6
Brasil,2018,Total,2.1.8 Recreação e cultura,96.16
Brasil,2018,Total,2.1.10 Serviços pessoais,48.55
Brasil,2018,Até 1.908 Reais,2.1.1 Alimentação,329.84
Brasil,2018,Até 1.908 Reais,2.1.2 Habitação,585.91
Brasil,2018,Até 1.908 Reais,2.1.4 Transporte,142.23
Brasil,2018,Até 1.908 Reais,2.1.6 Assistência à saude,88.66
Brasil,2018,Até 1.908 Reais,2.1.7 Educação,29.02
Brasil,2018,Até 1.908 Reais,2.1.8 Recreação e cultura,25.79
Brasil,2018,Até 1.908 Reais,2.1.10 Serviços pessoais,14.42
Brasil,2018,Mais de 1.908 a 2.862 Reais,2.1.1 Alimentação,449.21
Brasil,2018,Mais de 1.908 a 2.862 Reais,2.1.2 Habitação,859.96
Brasil,2018,Mais de 1.908 a 2.862 Reais,2.1.4 Transporte,265.93
Brasil,2018,Mais de 1.908 a 2.862 Reais,2.1.6 Assistência à saude,164.99
Brasil,2018,Mais de 1.908 a 2.862 Reais,2.1.7 Educação,56.22
Brasil,2018,Mais de 1.908 a 2.862 Reais,2.1.8 Recreação e cultura,40.75
Brasil,2018,Mais de 1.908 a 2.862 Reais,2.1.10 Serviços pessoais,24.02
Brasil,2018,Mais de 2.862 a 5.724 Reais,2.1.1 Alimentação,634.41
Brasil,2018,Mais de 2.862 a 5.724 Reais,2.1.2 Habitação,1203.17
Brasil,2018,Mais de 2.862 a 5.724 Reais,2.1.4 Transporte,527.1
Brasil,2018,Mais de 2.862 a 5.724 Reais,2.1.6 Assistência à saude,240.84
Brasil,2018,Mais de 2.862 a 5.724 Reais,2.1.7 Educação,115.75
Brasil,2018,Mais de 2.862 a 5.724 Reais,2.1.8 Recreação e cultura,72.08
Brasil,2018,Mais de 2.862 a 5.724 Reais,2.1.10 Serviços pessoais,42.51
Brasil,2018,Mais de 5.724 a 9.540 Reais,2.1.1 Alimentação,872.68
