renda_mensal,nivel_endividamento,frequencia_poupanca,comprometimento_gastos,Alimentacao,Moradia,Transporte,Saude,Educacao,Lazer,Servicos,perfil_financeiro
4102.14,36.0,Baixa,64.9,569.3,1080.94,555.49,184.18,157.37,82.19,32.41,Em observacao
2538.17,53.3,Media,68.6,317.05,710.65,362.14,167.02,110.11,47.62,27.48,Em risco
2437.47,34.2,Media,68.2,346.98,631.31,366.41,132.75,110.36,46.92,27.92,Em observacao
3552.25,3.8,Baixa,64.0,446.99,870.98,488.8,223.12,123.34,84.12,35.38,Saudavel
3799.84,4.3,Media,67.2,452.34,1076.15,476.55,286.55,152.63,74.27,33.2,Saudavel
1840.4,7.6,Baixa,65.5,240.03,510.98,233.99,112.49,58.85,32.6,15.84,Saudavel
3342.35,15.9,Baixa,51.7,402.37,680.91,313.21,153.44,84.19,62.5,30.24,Saudavel
5057.4,20.4,Baixa,54.5,492.58,1088.14,585.13,301.88,178.16,68.44,43.23,Saudavel
1576.91,17.1,Media,53.9,173.77,317.92,197.3,87.4,38.62,23.45,10.91,Saudavel
3297.83,55.8,Baixa,53.2,322.66,809.62,300.1,158.93,95.49,42.37,26.08,Em risco
6453.02,12.6,Baixa,51.0,629.32,1228.89,770.1,353.65,154.84,105.63,47.27,Saudavel
1881.37,27.7,Baixa,55.4,162.43,470.27,228.37,79.63,54.54,31.63,14.48,Saudavel
1432.48,46.6,Media,87.7,258.03,537.99,255.69,107.99,49.52,28.13,19.04,Em observacao
3705.01,15.2,Media,30.5,199.35,508.55,207.07,95.64,65.67,34.69,18.83,Saudavel
4826.79,70.7,Alta,42.7,360.53,911.56,409.36,193.22,100.58,56.71,27.7,Em risco
4375.34,14.2,Alta,56.8,532.79,1099.95,441.48,166.82,140.9,63.98,39.47,Saudavel
2095.42,11.3,Alta,44.9,199.4,397.68,160.18,88.75,59.0,23.12,13.74,Saudavel
3826.86,46.4,Alta,92.8,701.09,1496.54,750.59,287.52,166.49,101.99,48.76,Em observacao
5155.95,50.6,Media,23.7,206.9,524.23,266.85,106.63,70.24,30.15,15.27,Em risco
2527.38,28.2,Media,52.1,239.37,492.72,300.07,133.83,80.76,45.71,25.19,Saudavel
1412.0,33.7,Baixa,23.6,71.34,142.88,67.04,26.62,13.96,7.59,4.0,Em observacao
7735.95,28.9,Baixa,83.1,1207.51,2647.99,1530.01,496.6,303.27,160.57,80.86,Em observacao
3995.07,38.4,Baixa,35.7,278.82,574.86,309.47,138.53,62.51,39.74,22.19,Em observacao
5724.37,28.4,Alta,56.4,653.85,1268.48,693.01,286.39,172.41,109.09,44.68,Saudavel
3682.7,12.6,Alta,43.6,303.02,588.5,369.83,160.21,101.94,53.06,27.46,Saudavel
2114.15,37.1,Baixa,33.6,149.52,305.1,127.97,64.4,37.49,15.67,10.92,Em observacao
6146.55,28.9,Alta,71.6,730.93,1695.97,1064.8,473.25,239.95,134.38,63.12,Em observacao
1935.07,7.6,Baixa,63.7,260.23,449.1,274.68,116.89,80.37,35.83,16.29,Saudavel
