descricao,valor,categoria
Streaming Netflix,58.65,Lazer
Cinema Ingresso Show,22.75,Lazer
Seguro Residencial Porto,446.1,Moradia
Restaurante Prato Feito,67.25,Alimentacao
Papelaria Kalunga,159.9,Educacao
Farmacia Pague Menos,275.05,Saude
Mercado Dia a Dia,112.54,Alimentacao
Curso de Ingles CNA,79.56,Educacao
Material Escolar Didatico,145.54,Educacao
Boliche Fun Center,17.07,Lazer
Internet Tim Live,190.69,Moradia
Protecao Veicular Allianz,56.42,Transporte
Pet Shop Amigo Fiel,26.74,Servicos
Posto Shell,17.57,Transporte
Condominio Edificio Central,138.15,Moradia
Supermercado Pao de Acucar,37.55,Alimentacao
Auto Pecas Brasil,21.59,Transporte
Lava Rapido Total,70.07,Transporte
Consulta Medica Particular,210.06,Saude
Mercadinho da Vila,23.38,Alimentacao
Lavanderia Rapida,29.09,Servicos
Streaming Disney Plus,43.93,Lazer
Bar do Amigo,32.93,Lazer
Rappi Delivery,33.84,Alimentacao
Mercadinho Bom Preco,37.82,Alimentacao
Farmacia Nissei,105.25,Saude
Posto Ale,20.43,Transporte
Streaming HBO Max,27.94,Lazer
Curso Online Coursera,46.03,Educacao
Curso Preparatorio Vestibular,52.09,Educacao
Conta de Agua,180.43,Moradia
Revisao Automotiva Center,83.88,Transporte
Combustivel Gasolina,61.46,Transporte
Costureira do Bairro,31.8,Servicos
Farmacia Droga Raia,139.91,Saude
Energia Enel,169.02,Moradia
Parque Aquatico Wet Fun,20.91,Lazer
Streaming Spotify Premium,8.78,Lazer
Combustivel Gasolina,28.54,Transporte
Cinema Kinoplex,17.34,Lazer
Boliche Fun Center,21.53,Lazer
Mensalidade Faculdade Anhanguera,94.03,Educacao
Internet Vivo Fibra,328.72,Moradia
Farmacia Drogasil,267.78,Saude
Barbearia Classica,26.87,Servicos
Boliche Fun Center,24.03,Lazer
Mensalidade Escola Objetivo,146.05,Educacao
Laboratorio Exame Fleury,115.26,Saude
Revisao Automotiva Center,77.99,Transporte
Cinema Kinoplex,23.75,Lazer
Barbearia Vintage,18.42,Servicos
Posto BR Mania,25.34,Transporte
Plano de Saude Amil,230.41,Saude
Livraria Cultura Didatica,224.28,Educacao
Mercadinho da Vila,55.23,Alimentacao
Barbearia Classica,35.23,Servicos
Oficina Mecanica Silva,32.39,Transporte
Costureira do Bairro,42.9,Servicos
Farmacia Popular,344.86,Saude
Combustivel Gasolina,52.85,Transporte
Feira Livre do Bairro,49.4,Alimentacao
Restaurante Prato Feito,67.9,Alimentacao
Laboratorio Exame Hermes Pardini,194.05,Saude
Barbearia Classica,15.04,Servicos
Streaming Deezer,26.62,Lazer
Posto Ale,50.84,Transporte
Material Escolar Didatico,56.87,Educacao
Conta de Agua,411.47,Moradia
Parque de Diversoes,15.88,Lazer
Farmacia Popular,58.34,Saude
Aluguel Casa Jardim,397.83,Moradia
Oficina Mecanica Rapida,125.76,Transporte
Papelaria Kalunga,173.1,Educacao
Aluguel Casa Jardim,858.35,Moradia
Streaming Disney Plus,4.82,Lazer
Aluguel Apartamento Centro,637.73,Moradia
Salao de Beleza Estilo,16.76,Servicos
Curso Profissionalizante,155.81,Educacao
Cinema Cinemark,19.95,Lazer
Papelaria Kalunga,79.3,Educacao
Curso Preparatorio Vestibular,80.41,Educacao
Pet Shop Amigo Fiel,14.0,Servicos
Condominio Edificio Central,829.07,Moradia
Parque de Diversoes,15.63,Lazer
Clinica Odontologica Sorriso,54.65,Saude
Barbearia Vintage,39.72,Servicos
Restaurante Prato Feito,67.81,Alimentacao
Combustivel Gasolina,59.64,Transporte
Internet Oi Fibra,278.54,Moradia
Consulta Medica Clinica Vida,185.45,Saude
Gas Ultragaz,286.33,Moradia
Gas Ultragaz,676.28,Moradia
Salao de Beleza Charme,36.66,Servicos
Streaming Netflix,14.06,Lazer
Rappi Delivery,28.13,Alimentacao
Gas Comgas,191.73,Moradia
Remedio Farmacia,85.01,Saude
Salao de Beleza Charme,13.47,Servicos
Aluguel Residencial Imovel,229.99,Moradia
Clinica Odontologica Sorriso,91.67,Saude
Lava Rapido Brilho,16.78,Transporte
Buffet de Eventos Tematico,10.16,Lazer
Conta de Luz,300.18,Moradia
Internet Tim Live,333.03,Moradia
Streaming Disney Plus,15.03,Lazer
Streaming Disney Plus,28.26,Lazer
Acougue Boi Bom,82.34,Alimentacao
Curso Online Coursera,62.77,Educacao
Supermercado Assai,45.6,Alimentacao
Salao de Beleza Estilo,23.56,Servicos
Assinatura Duolingo Plus,81.51,Educacao
Chaveiro 24 Horas,24.02,Servicos
Mercado Dia a Dia,39.66,Alimentacao
Curso de Ingles Wizard,156.79,Educacao
Mensalidade Escola Positivo,162.6,Educacao
Passeio Parque Aquatico,18.08,Lazer
Posto Ale,37.24,Transporte
Bar da Esquina,8.61,Lazer
Conta de Agua,435.05,Moradia
Gas Ultragaz,372.08,Moradia
Aplicativo Uber,77.73,Transporte
Farmacia Droga Raia,209.95,Saude
Livraria Cultura Didatica,307.76,Educacao
Estacionamento Multipark,27.71,Transporte
Padaria Doce Vida,75.67,Alimentacao
Onibus Metropolitano,108.84,Transporte
Servico de Fotografia,10.89,Servicos
iFood Delivery,29.16,Alimentacao
Assinatura Duolingo Plus,91.37,Educacao
Mercadinho Bom Preco,53.82,Alimentacao
Restaurante Prato Feito,39.33,Alimentacao
Curso Profissionalizante,180.48,Educacao
Lava Rapido Brilho,27.78,Transporte
Revisao Automotiva Center,51.35,Transporte
Cinema Kinoplex,8.32,Lazer
Curso Profissionalizante,163.21,Educacao
Salao de Beleza Estilo,35.49,Servicos
Cinema Kinoplex,16.91,Lazer
Padaria Bela Vista,113.92,Alimentacao
Assistencia Tecnica Celular,14.84,Servicos
Internet Oi Fibra,251.39,Moradia
Streaming Netflix,32.44,Lazer
Restaurante Temperinho,38.45,Alimentacao
Reforma Casa e Cia,494.23,Moradia
Onibus Intermunicipal,53.87,Transporte
Conta de Luz,627.59,Moradia
Estacionamento Multipark,37.68,Transporte
Moveis Tok e Stok,203.02,Moradia
Lanchonete Central,62.39,Alimentacao
Papelaria Nobre,98.87,Educacao
Cinema Ingresso Show,35.43,Lazer
Barbearia Moderna,27.88,Servicos
Farmacia Nissei,230.12,Saude
Boliche Fun Center,26.38,Lazer
Assistencia Tecnica Celular,27.29,Servicos
Conta de Agua,344.95,Moradia
Conserto de Eletronicos,102.4,Servicos
Reforma Casa e Cia,416.13,Moradia
Plano de Saude SulAmerica,62.52,Saude
Lavanderia Express,31.57,Servicos
Mercado Atacadao,24.76,Alimentacao
Plano de Saude Amil,137.94,Saude
Assistencia Tecnica Celular,77.17,Servicos
Revisao Automotiva Center,22.25,Transporte
Salao de Beleza Vintage,23.79,Servicos
Mercado Sao Luiz,64.7,Alimentacao
Curso de Ingles Wizard,121.98,Educacao
Padaria Sao Jose,82.69,Alimentacao
Onibus Intermunicipal,30.81,Transporte
Curso Online Alura,43.3,Educacao
Plano de Saude Amil,105.81,Saude
Padaria Sao Jose,25.0,Alimentacao
Lanchonete do Povo,39.89,Alimentacao
Assinatura Duolingo Plus,67.09,Educacao
Gas Comgas,307.66,Moradia
Padaria Bela Vista,50.91,Alimentacao
Assinatura Duolingo Plus,88.26,Educacao
Assistencia Tecnica Eletronicos,86.83,Servicos
